,bike_name,price,kms_driven,owner,age,power,brand
2664,Bajaj Pulsar RS200,105000,15000,First,6,200,Bajaj
2665,Bajaj Pulsar RS200,125000,11500,First,4,200,Bajaj
2666,Yamaha Fazer 150cc,45000,8800,First,11,150,Yamaha
2667,Hero Karizma R,21800,8000,First,14,223,Hero
2668,Hero Passion Pro,29000,12972,First,7,100,Hero
2669,Hero Splendor iSmart,34000,14494,First,6,110,Hero
2670,Hero Splendor Plus,56000,1745,First,2,100,Hero
2671,Benelli TNT 25,155000,7800,First,5,250,Benelli
2672,Royal Enfield Classic,125000,20000,First,5,500,Royal Enfield
2673,Hero Splendor Pro,26500,17857,First,6,100,Hero
2674,Bajaj Pulsar 150cc,10500,60000,First,13,150,Bajaj
2675,Hero Splendor Pro,19000,13723,Second,10,100,Hero
2676,Royal Enfield Thunderbird,115000,12288,First,3,350,Royal Enfield
2677,Bajaj Avenger 220cc,65000,27500,First,5,220,Bajaj
2678,Royal Enfield Thunderbird,100000,15428,First,6,350,Royal Enfield
2679,Mahindra Centuro 110cc,21400,27000,First,6,110,Mahindra
2680,Bajaj Avenger Cruise,89000,10000,First,3,220,Bajaj
2681,Royal Enfield Classic,89000,39000,First,7,350,Royal Enfield
2682,Bajaj Pulsar RS200,88000,7150,First,5,200,Bajaj
2683,Bajaj Avenger Street,48000,28081,Second,6,220,Bajaj
2684,Yamaha Fazer 150cc,40000,48000,First,7,150,Yamaha
2685,Suzuki Gixxer SF,60000,12919,First,5,150,Suzuki
2686,Yamaha FZ 150cc,30000,27411,First,12,150,Yamaha
2687,Bajaj Avenger Street,50000,10500,First,5,220,Bajaj
2688,KTM RC 390cc,148000,19750,First,5,390,KTM
2689,Honda CB Hornet,87000,7113,First,3,160,Honda
2690,Bajaj V15 150cc,40000,31000,Second,4,150,Bajaj
2691,Honda CB Twister,17000,36849,First,10,110,Honda
2692,Honda CBR 250R,100000,36000,First,8,250,Honda
